,Real summarize,Category
65,"ITV's Great British Spelling Test takes on the BBC's Olympics and Spooks Interactive for the interactive TV award.And the Guardian takes three of a possible five nominations in the news and sport category for its website coverage of Euro 2004, the Tour de France and the US elections.Categories include interactive TV, film, digital TV, mobile phones and music.The BBC leads the nominations for the Bafta Interactive Awards, including one for the Radio Times website and one for Sport Interactive's Euro 2004 coverage.In 2002, the British Academy of Film and Television decided to split the awards into separate games and interactive ceremonies, to fully cover the range of innovation outside the gaming industry.Other nominees include The Guardian news website, the National Theatre, MTV, the Science Museum and the London Stock Exchange.",entertainment
66,"We just really wanted to make a great Duran Duran album,"" said keyboard player Nick Rhodes.Chart stars Duran Duran are to appear in a VH1 special in the US including interviews and concert footage.Simon Le Bon said earlier this year that the group were not trying to update their sound too much.Le Bon also said the five members were getting on very well.""We wouldn't want to lose them [older fans] by trying too hard by trying to connect with a new audience,"" the singer said.""They seemed like a perfect fit with our audience,"" said Rick Krim, VH1's vice president of music and talent.""Nobody else does it for me,"" he said.",entertainment
67,"Icon spent very little on advertising the film, which deals with the last hours of Jesus Christ's life, when it was released earlier this year - instead, it made the film available for special screenings at churches.Over recent years, marketing films to the members of the Academy of Motion Picture Arts and Sciences has become a multi-million dollar industry.""This film should be judged on its artistic merit, not who spends more money on advertising,"" Davey said.Gibson and his Icon Productions partner Bruce Davey said they would not be campaigning in print, radio or TV for success at the Oscars in February.",entertainment
68,"Snow Patrol had ""no other course of action"" but to ask their co-founder and bassist to leave the band, lead singer Gary Lightbody has said.In a statement on the band's website, Lightbody said: ""I started the group with Mark 10 years ago and he was a massive part of Snow Patrol and my life throughout that decade.""Last month, they were the big winners in Ireland's top music honours, the Meteor Awards, picking up accolades for best band and album.The band formed in 1994 when Lightbody and McClelland met as students at Dundee University.Mark McClelland had been in the band for more than 10 years since its formation at Dundee University.Lightbody said ""over the last 18 months touring has taken its toll on the rest of the band's relationship with him"".",entertainment
69,"It was released in the US, and reached number 13 in the singles chart.The new version of the Band Aid song Do They Know It's Christmas?The Band Aid Trust which was set up 20 years ago, when the original single was released, handed out $144m (???œ75m) to famine relief projects across Africa between January 1985 and November 2004.Proceeds from the sales of the Band Aid 20 single will go towards aid relief in Africa, in countries such as Ethiopia and Sudan.But music fans in the US are still able to access the song and download it on Band Aid 20's official website.The original version - which was the Christmas number one in 1984 - sold 750,000 copies in its first week and 3.5 million in total.The charity record is also tipped to be this year's Christmas number one.However, Band Aid 20 is not going to be released in the US, despite being sold in many countries around the world.",entertainment
70,"Organisers were widely considered to be playing it safe this year by booking 62-year-old Sir Paul for his second Super Bowl show.After the controversy last year - which saw CBS fined a record $550,000 (???œ292,000) by federal regulators - Super Bowl organisers had turned to producer Don Mischer to oversee this year's half-time show.Three years ago, he was invited to perform at the first Super Bowl after the September 11 attacks and performed his specially-written song Freedom.Sir Paul McCartney wowed fans with a live mini-concert at American football's Super Bowl - and avoided any Janet Jackson-style controversies.Finally, he closed the show with a rousing version of Hey Jude.The 62-year-old sang Hey Jude and other Beatles songs in a 12-minute set at half-time during the game in Florida.The singer removed his black jacket halfway through the show - but any fans hoping for a second ""Nipple-gate"" were to be disappointed as he kept his red sweatshirt on underneath.",entertainment
71,"Other film stars to have appeared in Scrubs include Heather Graham, while Friends actor Matthew Perry has guest-starred and directed an episode of the show.The film star, who recently played the title role in historical blockbuster Alexander, will make a cameo appearance as an unruly Irishman.Its leading star, Zach Braff, has recently been seen on the big screen in Garden State, which he also directed.Farrell is pencilled in to play the role of Crockett in a film version of 1980s police drama Miami Vice.Farrell's appearance is said to be a result of his friendship with Zach Braff, who stars in the programme.",entertainment
72,"""This was a band that wanted to lay claim to this world and the next one, too,"" said Springsteen.""My course was set and he was my pilot,"" said Clapton who joined Guy and King in a performance of Let Me Love You Baby.""We are a tribute band,"" said Hynde, 53.""He was for me what Elvis was probably like for other people,"" he said.Introducing the band, Springsteen mocked Bono as the man who ""single-handedly pioneered the Irish mullet"", poking fun at ""one of the best and most endearingly messianic complexes in rock 'n' roll"".The lavish ceremony, celebrating the 50th anniversary of rock 'n' roll, also saw the induction of the Pretenders, Percy Sledge, the O'Jays and Buddy Guy.Singer Bruce Springsteen has inducted Irish rock band U2 into the Rock and Roll Hall of Fame, in New York.",entertainment
73,"Top of the Pops has turned to the star of Elvis Presley musical Jailhouse Rock after the late rock legend scooped the UK's 1,000th number one single.Mario Kombou, who plays the Presley role on stage, will sing One Night on Friday's BBC One show as producers are unable to use Presley video footage.Kombou is likely to appear on the show again next week as the next Presley re-release, A Fool Such As I, is on course to give him his third number one in three weeks.A Top of the Pops spokesperson said: ""It's a very special number one as it's the UK's 1,000th.",entertainment
74,"But Mr Dowell also said the residue would have been present if Mr Blake fired a gun that night.But it may not have come from the shot that killed Bonny Lee Bakley in 2001, Mr Blake's murder trial was told by criminalist Steven Dowell.Mr Dowell told a Los Angeles court the residue may have come from Mr Blake's revolver, his gun collection, his presence at the crime scene or police.Mr Blake said he found Ms Bakley, 44, dead in a car after they left a restaurant.Witnesses have already told the trial Mr Blake ""stood out as being quite nervous and agitated"" at the restaurant before the murder.",entertainment
75,"Mr Holiff, who was also a concert promoter, managed Cash's career between 1960 and 1973, quitting when he thought the singer's career had peaked.The Canadian music manager, who also managed Tommy Hunter and the Statler Brothers, had been in declining health, according to his family.The former manager of Johnny Cash, Saul Israel Holiff, has died at the age of 79, his family said.An entrepreneur from an early age, Mr Holiff served as a rear air gunner in the Royal Canadian Air Force during World War II, afterwards setting up a drive-in restaurant.",entertainment
76,"Young UK film fans voted animated Hollywood hit Shrek 2 best film at the children's Bafta awards on Sunday.Debbie Isitt won the award for best adapted writer for her work with Jacqueline Wilson's The Illustrated Mum, which won the award for best schools drama.Former Playschool presenter Floella Benjamin was awarded the Special Award for outstanding creative contribution to children's film and television.Harry Potter and the Prisoner of Azkaban, runner-up in the poll, was the choice of the Bafta experts who named it best feature film.BBC One Saturday morning show Dick and Dom In Da Bungalow won two awards - best entertainment and best presenters for Richard McCourt and Dominic Wood.",entertainment
77,"The Last Samurai, starring Tom Cruise, was the biggest foreign movie hit in Japan last year, taking 13.8bn yen (???œ70.7m).Japanese films accounted for 37.5% of Japan's box office total last year, with foreign films taking the remaining 62.5%.The surge was led by animated movie Howl's Moving Castle, which took 20bn yen (???œ102m) to become the biggest film in Japan in 2004.Japan's box office received a 3.8% boost last year, with ticket sales worth 211bn yen (???œ1.08bn).Sales of movies on DVD and video amounted to 497bn yen (???œ2.54bn) for the year.",entertainment
78,"The Aviator has been tipped by UK bookmakers as the favourite to win the best film award at this year's Oscars.Ray star Jamie Foxx is clear favourite in the best actor category while Million Dollar Baby's Hilary Swank is tipped to win the best actress prize.British star Clive Owen is second favourite at William Hill to take the best supporting actor award, for his performance in Closer.Vera Drake star Imelda Staunton has 5/1 odds of winning the best actress Oscar at Bet 365 and William Hill, ahead of fellow UK star Kate Winslet who has odds of 25/1 at William Hill.Meanwhile, Clive Owen's best supporting actor nomination has led a bookmaker to shorten his odds of becoming the next James Bond.William Hill and Ladbrokes have given The Aviator 4/9 and 8/13 odds of winning best film, with Million Dollar Baby in second place at 9/4.",entertainment
79,"""You have explored the possibilities of film with an immense talent,"" Mr de Vabres said as he presented the award.Sir Alan received his decoration in Paris on Wednesday from French Culture Minister Renaud Donnedieu de Vabres.British film director Sir Alan Parker has been made an officer in the Order of Arts and Letters, one of France's highest cultural honours.A founding member of the Director's Guild of Great Britain, he is a former chairman of the UK Film Council and on the board of the British Film Institute.",entertainment
80,"Senegalese musician Youssou N'Dour has been named a winner of a BBC Radio 3 World Music Award.The concert will be broadcast on Radio 3's World Music Day the following evening and will feature performances by many of the award winners.It will also include the announcement of the Audience Award, chosen by Radio 3 and BBC World Service listeners, alongside BBC Four viewers.Highlights of the Poll Winners Concert, to be held at The Sage, Gateshead, will be televised on BBC Four on 11 March.",entertainment
81,"Spurlock was given his award on the same day the European Court of Human Rights ruled that two UK activists should have been given legal aid in their long fight against a McDonald's libel action.The Oscar-nominated film followed Spurlock as he ate only McDonald's fast food for an entire month.Spurlock was given the award at a special ceremony at the Roosevelt Hotel in Hollywood on Tuesday.McDonald's announced it was to scrap its ""supersized"" meals last year, but denied the move was as a result of the negative publicity created by Spurlock's film.Spurlock set out to discover the effect of living on nothing but McDonald's for a month, upgrading to supersize portions when offered.",entertainment
82,"Manchester rock band Doves have entered the UK album chart at number one with their new release, Some Cities.Futureheads' cover of Kate Bush's Hounds of Love entered the chart at number eight, while Usher's Caught Up was a new entry at number nine.In the album chart, operatic quartet Il Divo's eponymous debut rose 23 places to number six, while crooner Tony Christie's Definitive Collection is a new entry at number 10, making it the highest-charting album of the singer's career.Hip-hop performer Akon's Locked Up is at number five, while hotly-tipped Leeds band Kaiser Chiefs have their second chart hit at number six with Oh My God.",entertainment
83,"A film based on the internet musings of the ""Baghdad Blogger"" has been shown at the Rotterdam Film Festival.Baghdad Blogger is among a number of films about Iraq showcased at the Dutch festival, which runs until Sunday.The festival was also due to screen murdered Dutch film-maker Theo Van Gogh's film about the treatment of woman under Islam, but it was withdrawn due to safety fears.The film has been directed by the man who calls himself Salam Pax, the author of the weblog about Iraqi life during and after the war.Director Oday Rasheed made the film on discarded 1980s Kodak film taken from the remains for the former Ministry of Culture building.Van Gogh was shot and stabbed in November 2004, following death threats he received about his film Submission.",entertainment
84,"Catalina Sandino Moreno has joined a rare group of actresses who have been nominated for an Oscar for starring in a foreign language film.Sandino Moreno is now being regarded as one of the most promising actresses around at the moment.The Colombian-born actress was the final hope for director Joshua Marston, who scoured the US and Colombia for a lead for Maria Full of Grace.And at the 2004 Berlin Film Festival the jury could not choose between her and Charlize Theron's Oscar winning performance in Monster so gave them a tied award.",entertainment
85,"He said the number of visitors through the doors had boosted figures to pre-11 September 2001 levels.Mr Saumarez Smith said he was confident the gallery could maintain the attendance.The figures were prepared by the Association of Leading Visitor Attractions (Alva).Charles Saumarez Smith, the gallery's director, said he was ""delighted"".Popular cultural tourist spots such as the Tate Modern and the Natural History Museum all recorded increases of more than 10% in visitor numbers compared with 2003.Mr Saumarez Smith added that the pedestrianisation of Trafalgar Square, where the gallery is located, and strong temporary collections throughout 2004 had led to the strong performance.Alva director Robin Broke said: ""Visits from Western Europe were up by 10% and from North America by some 9% compared to 2003, while numbers from the rest of the world rose 20%.",entertainment
86,"Ipod owners can now download the Band Aid single from iTunes after Apple reached agreement with the charity.More than 72,000 copies of the new Band Aid single were sold on its first day of release on Monday, according to sales figures.But the single is now on sale for 79p - the usual cost of a song from iTunes - with Apple donating a further 70p to the charity for each song downloaded.Apple had been unwilling to raise the cost of the single in line with other download services, said Band Aid.",entertainment
87,"A Fool Such As I would become the 1,001st number one single in UK chart history after One Night took the 1,000th place on Sunday.The late US legend Elvis Presley is likely to score his third UK number one single in three weeks on Sunday, according to early sales figures.Presley's 18 original number ones are being reissued as limited release singles, with fans eager to buy the set to fill a collector's box that went on sale in the first week.Bookmakers have offered odds of 10/1 for all Presley's 18 hits to go back to number one.",entertainment
88,"Speaking to the Radio Times, the Two Ronnies star said there is too much bad language and reality TV.Corbett said he and Barker were always mindful of their family audience while making The Two Ronnies.Corbett, soon to reunite with Ronnie Barker for a new Two Ronnies series, also criticised quiz shows like the BBC's They Think It's All Over.Corbett is the latest comedy star to bemoan the ""dumbing down"" of modern TV programmes.said the 74-year-old comedian.Ronnie Corbett has joined fellow comedy stars Victoria Wood and David Jason in attacking the declining standards of British television programmes.""Our material was good-natured,"" he said.Corbett goes on to criticise ""reality programmes where they put people in a house for a fortnight and film them doing everything"".Its bespectacled stars will return later this year in The Two Ronnies Sketchbook, which will combine classic sketches with newly recorded material.""We've got to be careful not to dumb down for the audience,"" he said.",entertainment
89,"The band were forced to cut short Monday night's show in Sheffield, and have cancelled Tuesday's Glasgow date.The band were still hopeful they would be able to make their Wednesday date, added the spokesman.The band had originally been scheduled to play four dates in the UK as part of a world tour.The remainder of the band played a short acoustic set on Monday.Mills could ""hardly stand up, let alone play"", said an REM spokesman, who added he is now ""resting"" in hospital.US rock band REM have been forced to cancel concerts after bass player Mike Mills was taken to hospital suffering from ""severe flu-like symptoms"".",entertainment
90,"The debut album, which took the best British album title at the Brits on Tuesday, moved up seven places from number eight to number one.Last week's number one album Tourist, by Athlete, fell to number three.There are currently six re-released Elvis' tracks occupying spots in the top 40 singles chart including Are You Lonesome Tonight at number 20, It's Now or Never at number 27 and Jailhouse Rock at number 37.Their self-titled album moved from 13 to number four.The track, from their current album How To Dismantle An Atomic Bomb, pushed Eminem's Like Toy Soldiers from number one to number three.",entertainment
91,"Lord of the Rings director Peter Jackson has said that it will be up to four years before he starts work on a film version of The Hobbit.Jackson is thought to have secured the most lucrative film directing deal in history to remake King Kong, which is currently in production in Wellington.The Oscar winner said on a visit to Sydney there was a ""desire"" to make it, but not before lengthy negotiations.Jackson has also committed to making a film version of Lovely Bones, based on the best-selling book by Alice Sebold.Jackson, who is currently filming a remake of Hollywood classic King Kong, said he thought that the sale of MGM studios to the Sony Corporation would cast further uncertainty on the project.",entertainment
92,"The Chicago Film Critics Association (CFCA) named it winner in five categories including best film and best actor for Paul Giamatti.The CFCA awarded Thomas Haden Church the best supporting actor prize and Virginia Madsen the best supporting actress award for their roles in the film.The Southeastern Film Critics also awarded Sideways its best film of the year accolade.Sideways has already been voted best film by critics associations in New York and Los Angeles and has been nominated for a Golden Globe.Director Alexander Payne was named best director, and he also won best screenplay shared with Jim Taylor.",entertainment
93,"Last year's Janet Jackson 'wardrobe malfunction' encouraged the FCC to impose tougher rules, but the US Congress adjourned last year without agreeing on a new level of fines.Entertainers could also be liable for fines under the proposed legisation from both US politcians and officials from the Federal Communications Commission (FCC).US politicians are proposing a tough new law aimed at cracking down on indecency and bad language on US TV.The exposure of Janet Jackson's breast at last year's Superbowl landed CBS with a $550,000 (???œ293,264) fine.The current maximum fine stands at $32,500 (???œ17,320) - 20 of the stations in the CBS network were each penalised these lesser amounts for the Jackson incident.",entertainment
94,"Frank Allan Bruvik was ordered to pay 100,000 kroner (???œ8,000) to the music industry in Norway.Norway's music industry said it was satisfied with the ruling, because showed that music piracy would not be accepted.A Norwegian court ruled in 2003 that Bruvik would have to pay 100,000 kroner to the music industry, but the country's Court of Appeal cleared him, saying that the copyright violation occurred when others posted the music.Bruvik's site was online between August and November 2001, and while it did not host any music, at its peak it was providing links to more than 170 free files on other servers.However, the Supreme Court stated that the music was clearly published in violation of copyright law It added that the case was decided based on the responsibility for abetting an illegal act, and that Bruvik's actions were premeditated.A legal complaint for copyright violation was filed by groups including Norway's performing rights society, Tono, and the Norwegian branches of Sony Music and Universal Music, who saw it as an important test of principle.Bruvik had earlier been cleared on appeal after a lower court had found for the music industry.",Mixed
95,"Jay-Z, real name Shawn Carter, said: ""I have inherited two of the most important brands in hip-hop, Def Jam and Roc-A-Fella.Rap star Jay-Z is to become a record company executive after being put in charge of one of hip-hop's most influential labels, Def Jam.Antonio ""LA"" Reid, chairman of The Island Def Jam Music Group, said: ""I can think of no-one more relevant and credible in the hip-hop community to build upon Def Jam's fantastic legacy.""Def Jam's parent company, Universal, made the appointment after buying Jay-Z's Roc-A-Fella label.Jay-Z, who said he would make no more music after 2003's The Black Album, will become the company's president and chief executive from January.Universal said on Wednesday it had bought the 50% of Roc-A-Fella it did not already own.",Mixed
96,"In his Budget statement, the chancellor said the first 12,500 civil service jobs had been cut, on target.Unions oppose the plans but Mr Brown said ???œ2bn savings had already been made and more jobs had been cut than had been expected at this stage.Chancellor Gordon Brown said 12,500 jobs had gone while 7,800 were being moved out of the South East.Thousands of civil service jobs have already been cut or moved out of London as part of a major cost-cutting drive.Mark Serwotka, the leader of the Public and Commercial Services Union said: ""In last year's budget we had the day of the long knifes as the chancellor kicked off the crude game of who could cut the most civil service jobs between the government and the Tories.A further 200 jobs at the Department of the Environment, Food and Rural Affairs have been earmarked to be cut.",Mixed
97,"Monsanto also has admitted to paying bribes to a number of other high-ranking officials between 1997 and 2002.A former senior manager at Monsanto directed an Indonesian consulting firm to give a $50,000 bribe to a high-level official in Indonesia's environment ministry in 2002.The US agrochemical giant Monsanto has agreed to pay a $1.5m (???œ799,000) fine for bribing an Indonesian official.Monsanto faced both criminal and civil charges from the Department of Justice and the SEC.Monsanto has agreed to pay $1m to the Department of Justice, adopt internal compliance measures, and co-operate with continuing civil and criminal investigations.Monsanto admitted one of its employees paid the senior official two years ago in a bid to avoid environmental impact studies being conducted on its cotton.",Mixed
98,"""We know he was at Florida State University for a period of time and he did some acting when he was there,"" Norman added.The 1964 film shows the Doors frontman, who died aged 27 in 1971, playing the part of a young man who had been rejected by Florida State University.Morrison is seen quizzing a college administrator on why he was refused.Morrison was notorious for his wild lifestyle - and was accused of exposing himself and simulating a sex act at a Miami concert in 1969.Historians in Florida have discovered a 40-year-old clip of a clean-cut Jim Morrison appearing in a promotional film for his university.How come my parents and the state and the university didn't look ahead?""",Mixed
99,"Robinson had said he was ""livid"" about Kaplan's decisions on Saturday to disallow two England ""tries.""England coach Andy Robinson is facing disciplinary action after criticising referee Jonathan Kaplan in his side's Six Nations defeat to Ireland.Instead the RFU said in a statement they would, ""set out any concerns the England team management may have in a confidential manner"".The Rugby Football Union (RFU) will investigate Robinson after deciding not to lodge a complaint against Kaplan.The England coach went on to claim that ""only one side was refereed"".",Mixed
100,"With the Pension Benefit Guaranty Corporation (PBGC) some ???œ23bn (???œ12m) in deficit, the Financial Economists Roundtable (FER) wants Congress to act.The company has an estimated $2.9bn hole in its pilots' pension scheme, which the PBGC will now guarantee.The FER says firms should not have been allowed to reduce the insurance premiums they pay into the PBGC fund.""With a little firmer hand on the pensions issues in the US, I think that Congress could avoid having to turn to the taxpayer and instead turn the obligations back onto the companies that deserve to pay them,"" said Professor Dennis Logue, dean of Price College of Business at the University of Oklahoma.Instead of taxpayers having to pick up the bill, the FER wants Congressmen to change the PBGC's funding rules.",Mixed
101,"Kelly Holmes has been forced out of this weekend's European Indoor Athletics Championships after picking up a hamstring injury during training.""On Saturday night I pulled my hamstring running the last bend on my final 200m of the night,"" said Holmes.Holmes has now been advised by her coach Margot Jennings not to rush back into training and it is unlikely she will compete again until the summer.After that race and more progress in training, Holmes revealed she had decided to compete at the European Indoors before her plans were wrecked last weekend.""I saw the doctor here and he has said it is not serious but it's frustrating missing Madrid when I knew I was in great shape.""",Mixed
102,"Irish publishing group Independent News & Media is buying up a 26% stake in Indian newspaper company Jagran in a deal worth 25m euros ($34.1m).Meanwhile, the group made no comment about the future of the Independent newspaper despite recent speculation that Sir Anthony had held talks with potential buyers over a stake in the daily publication.""2004 has proven to be an important year for Independent News & Media,"" said chief executive Sir Anthony O'Reilly.Group advertising revenues were up over 10% year-on-year, the group said, with overall circulation revenues are expected to increase almost 10% year-on-year.He has consistently denied suggestions that the Independent and the Independent on Sunday are up for sale.Buy it is understood that the recent success of the smaller edition of the Independent, which has pushed circulation up by 20% to 260,000, has prompted interest from industry rivals, with Daily Mail & General Trust tipped as the most likely suitor.",Mixed
103,"The British producers of US Wife Swap are taking legal action against a show they claim is ""a blatant and wholescale copycat"" of their programme.ABC bought the rights to the British show, which was first aired in 2003 and became a hit on Channel 4.Earlier this year, the NBC network claimed that Fox's boxing show The Next Great Champ had been hurriedly produced to ensure its programme was the first to be screened.RDF Media, which makes the show for US network ABC, has filed a damages claim for $18 million (???œ9.25 million) against Fox's Trading Spouses.Their show was first screened in June, and was criticised in the press for its similarities to Wife Swap.",Mixed
104,"Brazil's unemployment rate fell to its lowest level in three years in December, according to the government.IBGE also said that average monthly salaries grew 1.9% in December 2004 from December 2003.The Brazilian Institute for Geography and Statistics (IBGE) said it fell to 9.6% in December from 10.6% in November and 10.9% in December 2003.The jobless rate average for the whole of 2004 was 11.5%, down from 12.3% in 2003, the IBGE said.The unemployment rate has been falling gradually since April 2004 when it reached a peak of 13.1%.However, average monthly wages fell 1.8% in December to 895.4 reais ($332; ???œ179.3) from November.",Mixed
105,"""Using a computer mouse is well known for being extremely hard for people with tremors so we're delighted to hear that a technology has been developed to address this problem,"" said Karen Walsh, from the UK National Tremor Foundation.A special adaptor that helps people with hand tremors control a computer mouse more easily has been developed.About three million Britons have some sort of hand tremor condition, said the UK National Tremor Foundation.People with hand tremors find it hard to use conventional mice for simple computer tasks because of the erratic movements of the cursor on the screen.Computer users plug the device into a PC, and it can be adjusted depending on how severe the tremor is.""The number of elderly computer users will increase as the population ages, and at the same time, the need for computer access grows,"" he said.""I'm a pilot and my tremor condition has not limited my ability to fly a plane,"" he said.Most commonly associated with tremors is Parkinson's disease, but they can also be caused by other conditions like Essential Tremor (ET).The device could help open up computing to millions more people who have found shaking to be a barrier.More than six million UK households now have a broadband net.",Mixed
106,"The net search giant Google has launched a search service that lets people look for TV programmes.Rival search engine Yahoo has been developing a similar type of video search for webcasts and TV clips which it promotes from its homepage.The service, Google Video beta, searches closed caption information that comes with programmes.It searches for and links to TV news, film trailers, and other video and audio clips.It only searches US channel content currently.The results thrown up by the search will also include programme and episode information like channel, date and time.""Over time, we plan to increase the number of television channels and video content available via Google Video but don't have more product details to share with you today,"" a Google spokesperson told the BBC News website.It also lets people find the next time and channel where a programme will aired locally using a US zip code search function.",Mixed
107,"Other film stars to have appeared in Scrubs include Heather Graham, while Friends actor Matthew Perry has guest-starred and directed an episode of the show.The film star, who recently played the title role in historical blockbuster Alexander, will make a cameo appearance as an unruly Irishman.Its leading star, Zach Braff, has recently been seen on the big screen in Garden State, which he also directed.Farrell is pencilled in to play the role of Crockett in a film version of 1980s police drama Miami Vice.Farrell's appearance is said to be a result of his friendship with Zach Braff, who stars in the programme.",Mixed
108,"England centre Mike Tindall is to seek a second opinion before having surgery on a foot injury that could force him to miss the entire Six Nations.England coach Andy Robinson is already without centre Will Greenwood and flanker Richard Hill while fly-half Jonny Wilkinson is certain to miss at least the first two games.""Mike had a specialist review on a fracture in his right mid foot,"" said England doctor Simon Kemp.Robinson is expected to announce his new-look England line-up on Monday for the match at the Millennium Stadium.",Mixed
109,"Jupiter Research's index is calculated using 40 different variables across net users, digital TV adoption, wireless and mobile, online activity, and digital devices.However, only 25% of Britons said a digital camera would be their top gadget purchase of the year.""The European Digital Life Index demonstrates that digital lifestyles are common today, but across Europe there is no single digital lifestyle,"" said Nate Elliott, Jupiter analyst.The least digital of the European nations was Greece, in 17th position, according to the Digital Life Index.About 14 million households in the UK, 60%, have digital TV, according to the communications regulator Ofcom.The UK's adoption of digital TV and broadband has helped make it the fourth most digitally-savvy nation in Europe, according a report by Jupiter Research.The trend for gadgets and technologies, such as digital video recorders (DVR), broadband, and video-on-demand will continue across Europe, he added.Digital cameras were the most popular choice of gadget for 2005, said the survey, with nearly 40% choosing this over wireless, home printing and DVR technologies.The most digitally sophisticated Europeans, in terms of use of digital goods such as mobiles, TV, net and cameras, are the Scandinavians.More than six million UK households now have broadband net.""Consumers adopt different digital products and services in different countries.""",Mixed
110,"Shadow Foreign Secretary Michael Ancram said: ""I am glad the foreign secretary has finally been shamed into representing Britain at this important act of commemoration.Foreign Secretary Jack Straw will visit Auschwitz for the 60th anniversary of the former Nazi concentration camp's liberation, it has been announced.The prince, 20, apologised, but critics have called for him to go to Auschwitz for the commemoration of the Soviets' 1945 liberation of the camp.Between 1.1 and 1.5 million people, mainly Jews, were killed at Auschwitz.Altogether, some six million people, mainly Jews, perished in the Holocaust.",Mixed
111,"The report was a stinging rebuke for the government and especially John Prescott's department, BBC environment correspondent Richard Black said.Deputy Prime Minister John Prescott said the report was completed before new initiatives were announced.- The government should recognise shortcomings of the Treasury's Barker Review, which said 140,000 new homes a year were needed in Britain.He said: ""We are working across government, especially with our colleagues at Defra, to create cleaner, safer and greener communities, while protecting and enhancing the environment.""""Sustainable communities"" were being promoted without a real understanding of what ""sustainable"" means, the Environmental Audit Committee said.The report said there was far too little attention paid to many environmental issues, including water, even though supplies in parts of the South East are already too low.Conservative local government spokeswoman Caroline Spelman said: ""There is now growing evidence that John Prescott's buildings programme is environmentally unsustainable, leaving a concrete scar across the face of rural England.""It said issues like energy needs and transport were not properly addressed.",Mixed
112,"""Juninho is not someone who has come through the Celtic ranks.Juninho deserves respect.Hassell warns that Juninho could reconsider his future at Celtic unless he is given a run of games by the end of the January transfer window.That's the way it has always been and that is certainly the case at Celtic Park.""""We have already spoken with Juninho and he said, if he has no firm offer from a club in Spain, Veracruz will be his destination,"" Sanchez told his club's official website.Juninho was signed from Middlesbrough during the summer, but he has failed to live up to high expectations and has lost his place to 18-year-old Aiden McGeady.Mexican outfit Red Sharks Veracruz hope to sign Juninho if the Brazilian decides to leave Celtic frustrated at his lack of first-team action.Sanchez is bullish about his hopes of prising Juninho from the Scottish champions, although Hassell believes Mexico would not be his preferred destination.",Mixed
113,"The Aviator has been tipped by UK bookmakers as the favourite to win the best film award at this year's Oscars.Ray star Jamie Foxx is clear favourite in the best actor category while Million Dollar Baby's Hilary Swank is tipped to win the best actress prize.British star Clive Owen is second favourite at William Hill to take the best supporting actor award, for his performance in Closer.Vera Drake star Imelda Staunton has 5/1 odds of winning the best actress Oscar at Bet 365 and William Hill, ahead of fellow UK star Kate Winslet who has odds of 25/1 at William Hill.Meanwhile, Clive Owen's best supporting actor nomination has led a bookmaker to shorten his odds of becoming the next James Bond.William Hill and Ladbrokes have given The Aviator 4/9 and 8/13 odds of winning best film, with Million Dollar Baby in second place at 9/4.",Mixed
114,"She made her first Carry On film in 1969 where she appeared in Carry On Again Doctor.She also appeared in Carry On at your Convenience, Carry On Matron and Carry On Loving, as well as others.Rowlands played the hard-done-by wife or the put-upon employee as a regular Carry On star.Actress Patsy Rowlands, known to millions for her roles in the Carry On films, has died at the age of 71.Agent Simon Beresford said: ""She was just an absolutely favourite client She never complained about anything, particularly when she was ill, she was an old trouper.Born in January 1934, Rowlands won a scholarship to the Guildhall School of Speech and Drama scholarship when she was just 15.Rowlands starred in nine of the popular Carry On films, alongside fellow regulars Sid James, Kenneth Williams and Barbara Windsor.",Mixed
115,"Nintendo's goal is to ship 5 million of its new Nintendo DS handheld consoles by March 2005.Sony says it intends to ship three million of the consoles by March 2005.Nintendo released its new DS console earlier this year and has already raised shipment targets for the device by 40%.The PSP is selling in Japan for 19,800 yen ($188; ???œ98) while Nintendo's DS console sells in the US and Japan for $150 (???œ78).",Mixed
116,"Among the over-65s, 70% said they would be certain to vote in an immediate election, compared with 39% of people under 55.Charity boss Gordon Lishman said if a ""decisive blow"" was struck at the election it would be by older voters who could be relied on to turn out.""Older people want to see manifesto commitments that will make a difference to their lives,"" Mr Lishman said.A survey for the charity suggests 69% of over-55s say they always vote in a general election compared with just 17% of 18 to 24 year olds.Political parties cannot afford to take older UK voters for granted in the coming election, says Age Concern.",Mixed
117,"There are now 27 countries seeking membership of the WTO.The World Trade Organisation (WTO) is to hold membership talks with both Iraq and Afghanistan.But several nations criticised the approach, and European Union ambassador to the WTO, Carlo Trojan, said Iran's application ""must be treated independently of political issues"".Before the process gets under way, all 148 WTO members must give their backing to applicant countries.Membership of the Geneva-based WTO helps guarantee a country's goods receives equal treatment in the markets of other member states - a policy which has seen it become closely associated with globalisation.But Iran's bid to join the trade body has been refused after the US blocked its application for the 21st time.",Mixed
118,The five unions meeting Mr Prescott want the government to withdraw these regulations.They want the government to withdraw regulations - due to be introduced in weeks - which would raise the pension age for council workers from 60 to 65.It is just weeks before new regulations are introduced to raise the pension age of local government workers.But a spokesman for Mr Prescott warned that the changes to the local government pension scheme would have to go ahead in April.Other public sector unions have pledged to follow.Mr Prescott held a private meeting with senior union figures last week.Five public sector unions will hold private talks with Deputy Prime Minister John Prescott at Labour's spring conference in Gateshead.The Public and Commercial Services Union (PCS) will co-ordinate any industrial action with up to six other public sector unions.,Mixed
